hour,ambient_temperature_C,ground_temperature_C,indoor_temperature_start_C,indoor_temperature,solar_irradiance_W_m2,wall_surface_temperature_C,roof_surface_temperature_C,conduction_heat_transfer_W,convection_heat_transfer_W,radiation_heat_transfer_W,opening_heat_transfer_W,solar_gain_W,total_heat_loss_W,net_heat_transfer_W,thermal_capacity_J_K,conduction_heat_transfer_energy_J,conduction_heat_transfer_energy_Wh,cumulative_conduction_heat_transfer_energy_J,cumulative_conduction_heat_transfer_energy_Wh,convection_heat_transfer_energy_J,convection_heat_transfer_energy_Wh,cumulative_convection_heat_transfer_energy_J,cumulative_convection_heat_transfer_energy_Wh,radiation_heat_transfer_energy_J,radiation_heat_transfer_energy_Wh,cumulative_radiation_heat_transfer_energy_J,cumulative_radiation_heat_transfer_energy_Wh,opening_heat_transfer_energy_J,opening_heat_transfer_energy_Wh,cumulative_opening_heat_transfer_energy_J,cumulative_opening_heat_transfer_energy_Wh,solar_gain_energy_J,solar_gain_energy_Wh,cumulative_solar_gain_energy_J,cumulative_solar_gain_energy_Wh,net_heat_transfer_energy_J,net_heat_transfer_energy_Wh,cumulative_net_heat_transfer_energy_J,cumulative_net_heat_transfer_energy_Wh,total_heat_loss_energy_J,total_heat_loss_energy_Wh,cumulative_total_heat_loss_energy_J,cumulative_total_heat_loss_energy_Wh
0,-10.0,1.0,20.0,19.29969123545712,0.0,-4.186237218677549,-4.186237218677549,8874.312664287341,6495.135779293442,1877.699796045113,0.0,0.0,8874.312664287341,-8874.312664287341,45619200.0,31947525.59143443,8874.312664287341,31947525.59143443,8874.312664287341,23382488.805456392,6495.135779293442,23382488.805456392,6495.135779293442,6759719.265762407,1877.699796045113,6759719.265762407,1877.699796045113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31947525.59143443,-8874.312664287341,-31947525.59143443,-8874.312664287341,31947525.59143443,8874.312664287341,31947525.59143443,8874.312664287341
1,-11.0,1.0,19.29969123545712,18.594555547668605,0.0,-5.116628524446117,-5.116628524446119,8935.479435656098,6572.902612488798,1879.5833553031598,0.0,0.0,8935.479435656098,-8935.479435656098,45619200.0,32167725.96836195,8935.479435656098,64115251.55979638,17809.79209994344,23662449.40495967,6572.902612488798,47044938.21041606,13068.03839178224,6766500.079091376,1879.5833553031598,13526219.344853783,3757.283151348273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32167725.96836195,-8935.479435656098,-64115251.55979638,-17809.79209994344,32167725.96836195,8935.479435656098,64115251.55979638,17809.79209994344
2,-12.0,1.0,18.594555547668605,17.884714484511598,0.0,-6.047765501711211,-6.047765501711211,8995.105952325584,6649.836381488235,1880.887123606178,0.0,0.0,8995.1059523256,-8995.1059523256,45619200.0,32382381.428372104,8995.105952325584,96497632.98816848,26804.898052269025,23939410.973357648,6649.836381488235,70984349.18377371,19717.874773270476,6771193.644982241,1880.8871236061782,20297412.989836022,5638.170274954451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32382381.428372163,-8995.1059523256,-96497632.98816854,-26804.89805226904,32382381.428372163,8995.1059523256,96497632.98816854,26804.89805226904
3,-12.0,1.0,17.884714484511598,17.19199320589175,0.0,-6.185055705344974,-6.185055705344977,8778.16404267067,6496.455765988594,1836.0610415544825,0.0,0.0,8778.164042670673,-8778.164042670673,45619200.0,31601390.553614415,8778.16404267067,128099023.54178289,35583.0620949397,23387240.757558938,6496.455765988594,94371589.94133265,26214.33053925907,6609819.749596137,1836.0610415544825,26907232.73943216,7474.231316508934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31601390.553614423,-8778.164042670673,-128099023.54178296,-35583.06209493971,31601390.553614423,8778.164042670673,128099023.54178296,35583.06209493971
4,-11.0,1.0,17.19199320589175,16.53770869648544,0.0,-5.523611761203499,-5.523611761203499,8291.093303196823,6118.220940383451,1745.5084882255221,0.0,0.0,8291.093303196823,-8291.093303196823,45619200.0,29847935.891508564,8291.093303196823,157946959.43329144,43874.15539813652,22025595.385380425,6118.220940383451,116397185.32671309,32332.55147964252,6283830.55761188,1745.5084882255221,33191063.29704404,9219.739804734456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29847935.891508564,-8291.093303196823,-157946959.43329152,-43874.155398136536,29847935.891508564,8291.093303196823,157946959.43329152,43874.155398136536
5,-9.0,1.0,16.53770869648544,15.942736024303773,0.0,-4.056667817054807,-4.056667817054807,7539.493701886075,5522.690714786369,1606.707990991926,0.0,0.0,7539.493701886073,-7539.493701886073,45619200.0,27142177.326789867,7539.493701886075,185089136.7600813,51413.649100022594,19881686.57323093,5522.690714786369,136278871.899944,37855.24219442889,5784148.767570933,1606.707990991926,38975212.064614974,10826.447795726383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27142177.326789863,-7539.493701886073,-185089136.76008138,-51413.64910002261,27142177.326789863,7539.493701886073,185089136.76008138,51413.64910002261
6,-6.0,1.0,15.942736024303773,15.44672363820727,50.0,-1.397822171692448,-0.26639357017423215,6285.468956614892,5502.7050793898115,1655.8723107830785,0.0,1267.5,7552.968956614892,-6285.468956614892,45619200.0,22627688.24381361,6285.468956614892,207716825.0038949,57699.11805663748,19809738.28580332,5502.7050793898115,156088610.18574733,43357.947273818696,5961140.318819082,1655.8723107830783,44936352.38343406,12482.320106509462,0.0,0.0,0.0,0.0,4563000.0,1267.5,4563000.0,1267.5,-22627688.24381361,-6285.468956614892,-207716825.00389498,-57699.1180566375,27190688.24381361,7552.968956614892,212279825.00389498,58966.6180566375
7,-3.0,1.0,15.44672363820727,15.0662190919156,150.0,1.6585787976803084,5.022794207365877,4821.753610608042,6278.421791540073,1964.5317709134542,0.0,3802.5,8624.253610608044,-4821.753610608044,45619200.0,17358312.998188954,4821.753610608042,225075138.00208384,62520.87166724553,22602318.449544262,6278.421791540073,178690928.63529158,49636.36906535877,7072314.375288435,1964.5317709134542,52008666.75872249,14446.851877422916,0.0,0.0,0.0,0.0,13689000.0,3802.5,18252000.0,5070.0,-17358312.998188958,-4821.753610608043,-225075138.00208396,-62520.87166724554,31047312.998188958,8624.253610608044,243327138.00208396,67590.87166724555
8,0.0,1.0,15.0662190919156,14.816812051253088,300.0,5.107977096517439,11.761900251148077,3160.4860192753586,7830.564283187383,2563.6645464706235,0.0,7605.0,10765.486019275359,-3160.4860192753586,45619200.0,11377749.669391291,3160.4860192753586,236452887.67147514,65681.35768652089,28190031.41947458,7830.564283187383,206880960.05476615,57466.933348546154,9229192.367294244,2563.6645464706235,61237859.126016736,17010.51642389354,0.0,0.0,0.0,0.0,27378000.0,7605.0,45630000.0,12675.0,-11377749.669391291,-3160.4860192753586,-236452887.67147526,-65681.3576865209,38755749.66939129,10765.486019275359,282082887.67147523,78356.3576865209
9,3.0,1.0,14.816812051253088,14.694538319314567,450.0,8.574992687117998,18.44290364759363,1549.4527311249465,9378.21900863205,3214.059265334202,0.0,11407.5,12956.952731124931,-1549.4527311249312,45619200.0,5578029.8320498075,1549.4527311249465,242030917.50352496,67230.81041764583,33761588.43107538,9378.21900863205,240642548.4858415,66845.1523571782,11570613.355203127,3214.059265334202,72808472.48121986,20224.575689227742,0.0,0.0,0.0,0.0,41067000.0,11407.5,86697000.0,24082.5,-5578029.832049753,-1549.4527311249312,-242030917.50352502,-67230.81041764583,46645029.83204975,12956.952731124931,328727917.50352496,91313.31041764583
10,6.0,1.0,14.694538319314567,14.695505319813268,600.0,12.058256036070578,25.063471574653946,-12.253830319540157,10919.548443413862,3916.7505046419938,0.0,15210.0,15197.74616968046,12.253830319539702,45619200.0,-44113.789150344564,-12.253830319540157,241986803.7143746,67218.55658732628,39310374.3962899,10919.548443413862,279952922.8821314,77764.70080059207,14100301.816711178,3916.7505046419938,86908774.29793103,24141.326193869736,0.0,0.0,0.0,0.0,54756000.0,15210.0,141453000.0,39292.5,44113.78915034293,12.253830319539702,-241986803.71437466,-67218.55658732628,54711886.21084966,15197.74616968046,383439803.7143746,106511.05658732628
11,8.0,1.0,14.695505319813268,14.776169775618884,700.0,14.391345210090982,29.44504163241045,-1022.1799839687692,11945.55076671802,4415.796505130966,0.0,17745.0,16722.820016031226,1022.1799839687737,45619200.0,-3679847.942287569,-1022.1799839687692,238306955.77208704,66196.37660335751,43003982.76018488,11945.55076671802,322956905.6423163,89710.25156731009,15896867.418471476,4415.796505130966,102805641.7164025,28557.1226990007,0.0,0.0,0.0,0.0,63882000.0,17745.0,205335000.0,57037.5,3679847.9422875857,1022.1799839687739,-238306955.77208707,-66196.37660335751,60202152.05771241,16722.820016031226,443641955.77208704,123233.87660335751
